         94324 function calls (93288 primitive calls) in 20.635 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38   16.756    0.441   16.756    0.441 {method 'acquire' of '_thread.lock' objects}
        4    2.450    0.612    2.450    0.612 {built-in method _imp.create_dynamic}
        1    0.526    0.526    0.526    0.526 {built-in method arcgisscripting.create}
       95    0.416    0.004    0.416    0.004 {built-in method builtins.compile}
        1    0.126    0.126    0.126    0.126 {built-in method describe}
       94    0.094    0.001    0.094    0.001 {built-in method _winapi.WaitForSingleObject}
     1128    0.069    0.000    0.070    0.000 {built-in method nt.stat}
        1    0.043    0.043   17.058   17.058 L1a_scripttool.py:71(mp_handler)
       12    0.017    0.001    0.017    0.001 {built-in method _winapi.CreateProcess}
      197    0.013    0.000    0.013    0.000 {built-in method io.open_code}
       94    0.008    0.000    0.008    0.000 {built-in method marshal.dumps}
      104    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.005    0.005    0.005    0.005 {built-in method nt._getfinalpathname}
       94    0.005    0.000    0.005    0.000 {built-in method nt.mkdir}
      747    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
  368/345    0.004    0.000    0.024    0.000 {built-in method builtins.__build_class__}
        1    0.002    0.002    0.385    0.385 toolbox.py:15(<module>)
        1    0.002    0.002    0.002    0.002 {built-in method nt.open}
       14    0.002    0.000    0.004    0.000 {built-in method io.open}
       13    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
       44    0.002    0.000    0.006    0.000 enum.py:179(__new__)
        2    0.002    0.001    0.024    0.012 pathlib.py:556(_select_from)
      117    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      142    0.002    0.000    0.004    0.000 inspect.py:2152(_signature_from_function)
       90    0.001    0.000    0.001    0.000 {built-in method _winapi.CloseHandle}
      131    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
        2    0.001    0.001    0.002    0.001 __init__.py:5(getFileVersion)
      103    0.001    0.000    0.482    0.005 <frozen importlib._bootstrap_external>:916(get_code)
      376    0.001    0.000    0.001    0.000 {method 'extend' of 'bytearray' objects}
       22    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      107    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    108/6    0.001    0.000    3.572    0.595 <frozen importlib._bootstrap>:1002(_find_and_load)
      800    0.001    0.000    0.002    0.000 inspect.py:2498(__init__)
     2697    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       27    0.001    0.000    0.003    0.000 {method 'dump' of '_pickle.Pickler' objects}
     1269    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FF8D3145670}
       71    0.001    0.000    0.010    0.000 utils.py:115(maskargs)
    10117    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      394    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       12    0.001    0.000    0.001    0.000 {built-in method _winapi.TerminateProcess}
     1536    0.001    0.000    0.001    0.000 _base.py:519(_params)
       44    0.001    0.000    0.001    0.000 enum.py:221(<setcomp>)
      424    0.001    0.000    0.002    0.000 enum.py:88(__setitem__)
      706    0.001    0.000    0.001    0.000 _base.py:87(passthrough_attr)
      206    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       71    0.001    0.000    0.004    0.000 inspect.py:1129(getfullargspec)
       94    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1087(set_data)
        1    0.001    0.001    0.001    0.001 {method 'acquire' of '_multiprocessing.SemLock' objects}
      892    0.001    0.000    0.002    0.000 pathlib.py:1098(_make_child_relpath)
     1767    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
        6    0.001    0.000    0.001    0.000 {built-in method addmessage}
      222    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      898    0.001    0.000    0.001    0.000 pathlib.py:715(_from_parsed_parts)
     2361    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
1640/1633    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        9    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      448    0.001    0.000    0.020    0.000 pathlib.py:1434(is_dir)
      468    0.001    0.000    0.001    0.000 enum.py:462(__setattr__)
      197    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      142    0.001    0.000    0.005    0.000 inspect.py:2246(_signature_from_callable)
      747    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
      490    0.001    0.000    0.001    0.000 {built-in method builtins.max}
    103/6    0.001    0.000    3.564    0.594 <frozen importlib._bootstrap_external>:844(exec_module)
        3    0.001    0.000    3.647    1.216 __init__.py:15(<module>)
      460    0.001    0.000    0.001    0.000 pathlib.py:742(__str__)
     2754    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       94    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:658(_code_to_timestamp_pyc)
     4286    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      454    0.001    0.000    0.001    0.000 pathlib.py:725(_format_parsed_parts)
       71    0.001    0.000    0.001    0.000 inspect.py:3065(__str__)
     1932    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
4087/4024    0.000    0.000    0.001    0.000 {built-in method builtins.len}
      107    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
    107/6    0.000    0.000    3.565    0.594 <frozen importlib._bootstrap>:659(_load_unlocked)
      665    0.000    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
